Project,Project Link,Size,Organization,Manufactured (AIVT) by,Costs,Source,Funded primarily by
Tiger-2,../sat/tiger-2.html,6U,OQ Technology,NanoAvionics,$2.4 million,https://www.oqtec.space/news/oq-techsigns-2-million-euro-contract-with-esa,ESA (European Space Agency)Luxembourg
Tiger-4,../sat/tiger-oqtechnology.html,6U,OQ Technology,NanoAvionics,$2.4 million,https://www.oqtec.space/news/oq-techsigns-2-million-euro-contract-with-esa,ESA (European Space Agency)Luxembourg
Tiger-7,../sat/tiger-oqtechnology.html,6U,OQ Technology,NanoAvionics,$2.4 million,https://www.oqtec.space/news/oq-techsigns-2-million-euro-contract-with-esa,ESA (European Space Agency)Luxembourg
Tiger-8,../sat/tiger-oqtechnology.html,6U,OQ Technology,NanoAvionics,$2.4 million,https://www.oqtec.space/news/oq-techsigns-2-million-euro-contract-with-esa,ESA (European Space Agency)Luxembourg
UKube-1,../sat/ukube-1.html,3U,UK Space Agency,AAC Clyde Space,"$1,000,000 for CubeSat platform and ground segment",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/350503/National_Space_Programmes_2014_to_2015.pdf,UK Space Agency
VPM,../sat/vpm.html,6U,Air Force Research Laboratory (AFRL),In-house,$4.5 million for the program,https://www.aflcmc.af.mil/News/Article-Display/Article/2034623/afrl-technology-set-for-launch-to-international-space-station/,US Air Force
WindCube,../sat/windcube.html,6U,National Center for Atmospheric Research (NCAR),In-house?,$6.5 million,https://digitalcommons.usu.edu/smallsat/2022/all2022/62/,NASA Science Mission Directorate Heliophysics Division
xSPANCION,../sat/xspancion.html,6U,AAC Clyde Space,AAC Clyde Space,$12.1 million from the UK Space Agency together for the first and second phases.,https://spacenews.com/aac-clyde-space-to-develop-cubesats-to-offer-array-of-services/,UK Space Agency
XVI,../sat/xvi.html,12U,Viasat,Blue Canyon,$10 million for the whole project.,https://spacenews.com/viasat-selected-to-develop-military-link-16-communications-satellite-in-low-earth-orbit/,
Ymir,../sat/ymir.html,3U,"AOS (AAC Clyde Space, Saab, Orbcomm)",AAC Clyde Space,$1.94 million,https://investor.aac-clyde.space/en/press-releases/aac-clyde-space-saab-and-orbcomm-to-bring-the-next-generatio-79059,Swedish Transport Administration
